title,url,publication_date,processed_date,methodology_detailed,key_findings,technical_approach,research_design
2502,https://arxiv.org/pdf/2502.09356,2025-08-04T19:11:05+00:00,2025-08-06 08:07:52,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
Context Engineering for AI Agents: Lessons from Building Manus,https://manus.im/blog/Context-Engineering-for-AI-Agents-Lessons-from-Building-Manus,2025-08-03T09:26:34+00:00,2025-08-06 08:08:45,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
SemRAG: Semantic Knowledge-Augmented RAG for Improved Question-Answering,https://arxiv.org/abs/2507.21110,2025-08-01T17:54:11+00:00,2025-08-06 08:09:28,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
Sumit (@reachsumit.com),https://bsky.app/profile/reachsumit.com/post/3lvcnilnqqk2d,2025-08-01T11:29:02+00:00,2025-08-06 08:10:05,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
Multiagent AI for generating chain-of-thought training data,https://www.amazon.science/blog/multiagent-ai-for-generating-chain-of-thought-training-data,2025-08-01T09:48:28+00:00,2025-08-06 08:10:39,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems,https://arxiv.org/html/2311.09476v2,2025-07-31T08:41:54+00:00,2025-08-06 08:11:11,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
Sumit (@reachsumit.com),https://bsky.app/profile/reachsumit.com/post/3lvaedjt25c2e,2025-07-31T08:25:20+00:00,2025-08-06 08:11:49,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
HALoGEN: Fantastic LLM Hallucinations and Where to Find Them,https://arxiv.org/abs/2501.08292,2025-07-31T00:00:35+00:00,2025-08-06 08:12:21,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
Language Model Re-rankers are Fooled by Lexical Similarities,https://arxiv.org/abs/2502.17036,2025-07-29T22:40:29+00:00,2025-08-06 08:12:57,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
From Citations to Criticality: Predicting Legal Decision Influence in the Multilingual Swiss Jurisprudence,https://arxiv.org/abs/2410.13460,2025-07-28T12:05:48+00:00,2025-08-06 08:13:24,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed,Analysis parsing failed
